title,slug,excerpt,visibility,tags,video_url,content
"Ursula Burns: From Intern to Fortune 500 CEO","ursula-burns-intern-to-ceo-contractor-module","How the first Black woman CEO of a Fortune 500 company connects to CentenarianOS Contractor and managing your career trajectory.","draft","women's history month|black history|centenarian stories|contractor","","## Ursula Burns: From Intern to Fortune 500 CEO

In 2009, Ursula Burns became the first Black woman to serve as CEO of a Fortune 500 company when she took the helm at Xerox.

She started as a mechanical engineering intern in 1980 and spent over 30 years rising through the ranks. She led Xerox through a major business transformation from hardware to services, navigating one of the most challenging transitions in corporate history.

Burns later chaired VEON, served on multiple corporate boards, and became a powerful voice for diversity in corporate leadership.

### The Connection to CentenarianOS Contractor

CentenarianOS Contractor helps workers manage job assignments, track hourly and project rates, compare earnings across venues and cities, and monitor career growth over time.

Burns' trajectory — from intern to CEO — is the kind of career path that requires tracking, comparing, and optimizing. The Contractor module gives you the tools to see where you've been, where you are, and where you're going.

### Try It Today

Log your current rate or salary. Compare it to where you were a year ago. Set a target for next year. Burns didn't get to the top by accident — she tracked her progress every step of the way."
"Katherine Johnson: The Math Behind the Moon","katherine-johnson-math-behind-moon-correlations-module","How the NASA mathematician whose calculations sent astronauts to space connects to CentenarianOS Correlations and finding patterns in your data.","draft","women's history month|black history|centenarian stories|correlations","","## Katherine Johnson: The Math Behind the Moon

When John Glenn was about to orbit the Earth in 1962, he asked NASA to have Katherine Johnson personally verify the computer's trajectory calculations before he would board the spacecraft.

He trusted her math more than the machine's.

Johnson calculated the trajectory for Alan Shepard's first spaceflight in 1961, verified the orbital equations for Glenn's mission, and later worked on Apollo 11's lunar landing calculations. She received the Presidential Medal of Freedom in 2015 at age 97.

Her superpower wasn't just computation — it was finding patterns in complex data and trusting them to make life-or-death decisions.

### The Connection to CentenarianOS Correlations & Analytics

CentenarianOS Correlations finds patterns across your health, productivity, and lifestyle data. It connects metrics you track — sleep, activity, spending, mood, heart rate — and shows you what's correlated.

Johnson spent her career finding the mathematical relationships hidden in orbital data. The Correlations module does the same thing with your personal data — revealing the patterns you can't see with your eyes alone.

### Try It Today

Track at least two metrics for a week — sleep and productivity, or exercise and mood. Then check the Correlations dashboard. The patterns might surprise you. Katherine Johnson would appreciate the math."
"Harriet Tubman: The Strategic Planner Who Led People to Freedom","harriet-tubman-strategic-planner-roadmap-module","How the Underground Railroad conductor's strategic route-planning connects to CentenarianOS Roadmap and breaking big goals into milestone checkpoints.","draft","women's history month|black history|centenarian stories|roadmap","","## Harriet Tubman: The Strategic Planner Who Led People to Freedom

Harriet Tubman made approximately 13 missions to rescue roughly 70 enslaved people via the Underground Railroad. Not one was captured.

That's not luck. That's planning.

Tubman used knowledge of terrain, timing, weather, safe houses, and human psychology to plot routes with military precision. She traveled at night, used rivers to avoid dogs, moved in winter when shorter days kept people indoors, and started journeys on Saturday nights because newspapers didn't print runaway notices until Monday.

During the Civil War, she served as a scout, spy, and the first woman to lead an armed raid — the Combahee River Raid of 1863, which freed more than 700 enslaved people.

### The Connection to CentenarianOS Roadmap

CentenarianOS Roadmap helps you plan long-term goals with milestones, checkpoints, and dependencies. You can break an ambitious objective into sequential steps, track progress, and adjust the plan as conditions change.

Tubman's routes were roadmaps — each safe house a milestone, each river crossing a checkpoint. The Roadmap module gives you the same strategic framework for your goals, minus the dogs.

### Try It Today

Set a long-term goal in the Roadmap. Break it into three milestones. Assign the first task. Tubman's journeys started with a single step into the darkness — yours starts with a click."
"Lisa Gelobter: The Code Behind the Internet","lisa-gelobter-code-behind-internet-wearables-module","How the computer scientist who helped build web animation technology connects to CentenarianOS Wearables and cross-platform tech integration.","draft","women's history month|black history|centenarian stories|wearables","","## Lisa Gelobter: The Code Behind the Internet

Before viral videos, before streaming, before the internet looked anything like it does today — Lisa Gelobter was writing the code that made it possible.

Gelobter contributed to the development of Shockwave, the technology that powered early web animation and interactive content. She held senior technology roles at BET, Hulu, and the U.S. Digital Service under President Obama, where she worked on making government technology actually work for citizens.

She later founded tEQuitable, a platform that uses technology to address workplace harassment and inequity — proving that code can be a tool for justice.

### The Connection to CentenarianOS Wearables

CentenarianOS Wearables integrates data from Oura, WHOOP, Garmin, Apple Health, Google Health, and InBody — the kind of cross-platform interoperability that Gelobter has spent her career advancing.

Making different systems talk to each other is hard. Gelobter did it for the early web. The Wearables module does it for your health data — pulling metrics from multiple devices into one unified view.

### Try It Today

Connect a wearable device in Settings. Watch your health data flow in automatically. The technology that makes it work is built on the same principles Gelobter pioneered."
"Dorothy Bolden: The Union Builder","dorothy-bolden-union-builder-union-module","How the founder of the National Domestic Workers Union connects to CentenarianOS Union and the tools of collective bargaining.","draft","women's history month|black history|centenarian stories|union","","## Dorothy Bolden: The Union Builder

Dorothy Bolden started doing domestic work at age nine. By the time she was done, she had organized thousands of workers and changed the law.

In 1968, Bolden founded the National Domestic Workers Union of America in Atlanta, organizing predominantly Black women who cleaned, cooked, and cared for other people's families. She negotiated fair wages, set work standards, and demanded dignity for the most overlooked workforce in America.

Her organizing efforts led to minimum wage protections for domestic workers — a category of labor that had been deliberately excluded from the original Fair Labor Standards Act of 1938.

### The Connection to CentenarianOS Union

CentenarianOS Union helps workers track labor agreements, union membership, and worker protections. It's the digital version of the collective bargaining infrastructure Bolden spent her life building.

Bolden knew that individual workers are vulnerable, but organized workers have power. The Union module gives you the tools to track that organization — dues, agreements, contacts, and protections — all in one place.

### Try It Today

If you're a union member, log your agreement details in the Union module. If you're not, explore what collective bargaining looks like. Bolden built a union with phone calls and shoe leather. You have better tools now."
"Patricia Bath: The Doctor Who Gave People Sight","patricia-bath-gave-people-sight-scan-module","How the ophthalmologist who invented laser cataract surgery connects to CentenarianOS Scan and the power of imaging technology in daily life.","draft","women's history month|black history|centenarian stories|scan","","## Patricia Bath: The Doctor Who Gave People Sight

In 1988, Dr. Patricia Bath became the first Black woman doctor to receive a medical patent — for the Laserphaco Probe, a device that uses laser technology to dissolve cataracts and restore sight.

Bath didn't stop at the invention. She co-founded the American Institute for the Prevention of Blindness and championed ""community ophthalmology"" — bringing eye care to underserved populations around the world. She traveled to developing countries to perform surgeries and train local doctors.

She restored sight to people who had been blind for over 30 years.

### The Connection to CentenarianOS Scan

CentenarianOS Scan captures and digitizes documents and receipts using your device's camera — applying imaging technology to daily life management. It turns paper into data with a tap.

Dr. Bath used precision optics to solve one of medicine's oldest problems. The Scan module uses similar principles — cameras, light, and processing — to solve one of life's most annoying problems: keeping track of paper.

### Try It Today

Scan a receipt or document with the Scan module. Watch it convert to structured data. It's a small miracle of optics — one that Dr. Bath would appreciate."
"Gladys West: The Woman Behind GPS","gladys-west-behind-gps-data-hub-module","How the mathematician whose calculations made GPS possible connects to CentenarianOS Data Hub and the power of organizing complex datasets.","draft","women's history month|black history|centenarian stories|data hub","","## Gladys West: The Woman Behind GPS

Every time you open a map on your phone, you're using Gladys West's math.

West was a mathematician at the Naval Surface Warfare Center whose work on satellite geodesy and mathematical modeling of the Earth's shape was foundational to the development of GPS. Her precise calculations of satellite data created the geoid model that makes modern GPS navigation possible.

She was inducted into the Air Force Space and Missile Pioneers Hall of Fame in 2018 — decades after her work had quietly changed the world.

### The Connection to CentenarianOS Data Hub

CentenarianOS Data Hub centralizes import, export, and cross-module data management. It's the command center for organizing information across finance, health, travel, workouts, equipment, contacts, and tasks.

West spent her career taking complex, messy satellite data and organizing it into a model the world could use. The Data Hub does the same thing with your personal data — pulling it together from multiple sources into one unified, actionable view.

### Try It Today

Visit the Data Hub and export a module's data. Or import from a CSV. See how your data looks when it's all in one place. Gladys West organized the data that maps the Earth. You can start by mapping your life."
"Oprah Winfrey: The Power of Weekly Reflection","oprah-winfrey-weekly-reflection-weekly-review-module","How the media mogul who turned self-reflection into a cultural practice connects to CentenarianOS Weekly Review.","draft","women's history month|black history|centenarian stories|weekly review","","## Oprah Winfrey: The Power of Weekly Reflection

For 25 years, Oprah Winfrey sat in front of a camera and asked people one question in a thousand different ways: *What did you learn this week?*

She transformed daytime television from entertainment into a platform for introspection, book culture, and personal growth. She built a media empire — Harpo Productions, OWN, O Magazine — and became the first Black woman billionaire in North America.

But her greatest innovation wasn't a show or a network. It was normalizing the habit of regular self-examination. She kept a gratitude journal. She reviewed her week publicly, in front of millions. She made reflection mainstream.

### The Connection to CentenarianOS Weekly Review

CentenarianOS Weekly Review prompts you to reflect on the past week's accomplishments, challenges, and plans for the week ahead. It's a structured habit of the same intentional self-reflection Winfrey modeled for millions.

The Weekly Review asks simple questions: What went well? What didn't? What will you do differently? These are the same questions Winfrey asked her guests — and herself — for decades.

### Try It Today

Complete your first Weekly Review. Answer honestly. Look at the patterns over time. Oprah built an empire on the habit of reflection. You can build a better week."
"Carole Simpson: The Voice That Broke Through","carole-simpson-voice-broke-through-live-module","How the first Black woman to anchor a major network evening newscast connects to CentenarianOS Live and the power of real-time broadcast.","draft","women's history month|black history|centenarian stories|live","","## Carole Simpson: The Voice That Broke Through

In 1988, Carole Simpson became the first Black woman to anchor a major U.S. network evening newscast when she sat behind the desk at ABC's *World News Tonight*.

Four years later, she made history again — moderating the 1992 presidential debate between George H.W. Bush, Bill Clinton, and Ross Perot. She was the first Black woman to moderate a presidential debate.

Simpson spent 40 years in broadcast journalism, reporting from war zones, political conventions, and breaking news events. She later taught journalism at Emerson College, passing her craft to the next generation.

### The Connection to CentenarianOS Live

CentenarianOS Live hosts live sessions and broadcasts — the same real-time communication platform Simpson mastered. Whether it's a class, a workshop, or a community event, Live brings people together in the moment.

Simpson proved that the most powerful communication happens in real time — unscripted, unfiltered, and direct. The Live module gives you that same immediacy for teaching, learning, and connecting.

### Try It Today

Join a live session on CentenarianOS or host one of your own. Real-time connection is irreplaceable. Carole Simpson knew that — and now you have the tools to experience it yourself."
"Annie Turnbo Malone: The Pricing Pioneer","annie-turnbo-malone-pricing-pioneer-rate-cards-module","How the Black haircare industry pioneer who built a multimillion-dollar business connects to CentenarianOS Rate Cards and strategic pricing.","draft","women's history month|black history|centenarian stories|rate cards","","## Annie Turnbo Malone: The Pricing Pioneer

Before Madam C.J. Walker, there was Annie Turnbo Malone — her mentor, and the true pioneer of the Black haircare industry.

Malone built the Poro Company into a multimillion-dollar enterprise, developing product lines with strategic pricing that made quality haircare accessible to Black women across the country. She employed over 75,000 agents and founded Poro College in St. Louis in 1917 — a beauty school and community center that became a hub of Black economic life.

She donated generously to Black institutions, orphanages, and Howard University's medical school. She understood that pricing wasn't just about profit — it was about access.

### The Connection to CentenarianOS Rate Cards

CentenarianOS Rate Cards helps workers set, compare, and manage pricing for their services. You can track rates across venues, compare year-over-year earnings, and optimize your pricing strategy.

Malone built her empire on smart pricing — products that were affordable enough to reach everyone but profitable enough to sustain a national business. The Rate Cards module gives you the same strategic pricing framework for your own work.

### Try It Today

Set up a rate card for your primary service. Compare it to your actual earnings. Are you charging what you're worth? Malone knew the answer to that question — do you?"
"Maya Angelou: The Art of Looking Back","maya-angelou-art-of-looking-back-retrospective-module","How the poet and memoirist who turned self-assessment into literature connects to CentenarianOS Retrospective and data-driven reflection.","draft","women's history month|black history|centenarian stories|retrospective","","## Maya Angelou: The Art of Looking Back

Maya Angelou wrote seven autobiographies. Seven times she looked back at her life and turned what she found into art.

*I Know Why the Caged Bird Sings* (1969) pioneered the genre of Black women's memoir. She went on to write dozens of poetry collections, essays, and screenplays. She was the first Black woman to have a screenplay produced (*Georgia, Georgia*, 1972). She recited ""On the Pulse of Morning"" at President Clinton's 1993 inauguration.

Angelou's genius wasn't just in writing — it was in retrospection. She examined her past with honesty, found the patterns, and shared what she learned so others wouldn't have to learn it alone.

### The Connection to CentenarianOS Retrospective

CentenarianOS Retrospective helps you look back at past periods with data-driven reflection. It pulls together your tasks, health metrics, spending, and activity to show you what your weeks and months actually looked like — not what you remember them looking like.

Angelou wrote memoirs. The Retrospective module helps you write yours — one week at a time, backed by data instead of fading memory.

### Try It Today

Run a retrospective for last month. Look at the data alongside your feelings. What patterns emerge? Angelou spent a lifetime mastering the art of looking back. The Retrospective module gives you a head start."
"Dorothy Height: Organizing Across Every Domain","dorothy-height-organizing-across-domains-life-categories-module","How the Godmother of the Civil Rights Movement connects to CentenarianOS Life Categories and cross-domain life organization.","draft","women's history month|black history|centenarian stories|life categories","","## Dorothy Height: Organizing Across Every Domain

Dorothy Height was president of the National Council of Negro Women for 40 years. In that time, she touched every domain of American life.

Known as the ""Godmother of the Civil Rights Movement,"" Height organized across education, employment, healthcare, voting rights, and international relations — simultaneously. She worked alongside Martin Luther King Jr., John Lewis, A. Philip Randolph, and every major civil rights leader of the 20th century.

She integrated the YWCA, championed voter registration drives, built international women's programs in Africa, and received the Presidential Medal of Freedom in 2004 and the Congressional Gold Medal in 2004.

Her superpower was cross-domain thinking. She didn't separate her work into silos. She saw how education connected to employment, how healthcare connected to civil rights, how international work connected to domestic justice.

### The Connection to CentenarianOS Life Categories

CentenarianOS Life Categories lets you tag and organize activities across all life areas — Health, Finance, Career, Relationships, Creativity, Spirituality, and more. Every task, transaction, workout, trip, and recipe can be tagged with the life category it serves.

Height understood that life doesn't happen in silos. The Life Categories module reflects that truth — showing you how your daily actions connect across every domain of your life.

### Try It Today

Tag three activities from today with life categories. See how a workout connects to Health, a budget review to Finance, and a mentoring call to Relationships. Height organized across every domain. Now you can too."
